"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_0}.jpg","nok","0.3","792.85"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_2}.jpg","nok","0.31","130.13"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_3}.jpg","nok","0.29","131.38"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_4}.jpg","nok","0.38","129.32"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_5}.jpg","nok","0.56","128.4"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_6}.jpg","nok","0.2","131.4"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_7}.jpg","nok","0.54","130.92"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_8}.jpg","nok","0.36","130.51"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_9}.jpg","nok","0.27","129.01"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_10}.jpg","nok","0.29","126.15"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_11}.jpg","nok","0.34","129.39"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_12}.jpg","nok","0.38","132.61"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_13}.jpg","nok","0.3","127.61"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_14}.jpg","nok","0.23","127.12"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_15}.jpg","nok","0.28","130.63"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_16}.jpg","nok","0.27","130.5"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_17}.jpg","nok","0.34","130.65"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_18}.jpg","nok","0.39","129.87"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_19}.jpg","nok","0.38","129.34"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_20}.jpg","nok","0.26","128.82"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{1_1-1_21}.jpg","nok","0.32","130.57"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{2_1-1_22}.jpg","nok","0.32","128.83"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{2_1-1_23}.jpg","nok","0.25","130.89"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{2_1-1_24}.jpg","nok","0.43","132.53"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{2_1-1_25}.jpg","nok","0.36","128.92"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{3_1-1_26}.jpg","nok","0.23","128.75"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{3_1-1_27}.jpg","nok","0.23","130.67"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20240911\123456789\123456789-1-{3_1-1_28}.jpg","nok","0.42","131.26"
