"No.","File Name","Predicted","Confinence(%)","Predicted With Condition","Min Area","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_1}.jpg","","","","",""
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_2}.jpg","ok","0.48","ok","0","804.24"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_3}.jpg","ok","0.16","ok","0","152.55"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_4}.jpg","nok","1.98","nok","389004","137.11"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_5}.jpg","ok","0.23","ok","0","35439.54"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_6}.jpg","ok","0.06","ok","0","141.42"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_7}.jpg","nok","0.56","nok","54","154.32"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_8}.jpg","nok","0.98","nok","92988","147.8"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_9}.jpg","ok","0.16","ok","0","142.23"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_10}.jpg","ok","0.09","ok","0","139.95"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_11}.jpg","ok","0.36","ok","0","138.4"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_12}.jpg","ok","0.13","ok","0","151.72"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_13}.jpg","nok","0.73","nok","363273","139.92"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_14}.jpg","ok","0.23","ok","0","139.96"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_15}.jpg","nok","0.86","nok","19980","152.46"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_16}.jpg","ok","0.36","ok","0","128.97"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_17}.jpg","ok","0.16","ok","0","151.61"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_18}.jpg","nok","1.14","nok","36801","140.84"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_19}.jpg","nok","1.86","nok","13047","143.37"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_20}.jpg","ok","0.21","ok","0","137.36"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_21}.jpg","ok","0.16","ok","0","134.21"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{1_1-1_22}.jpg","nok","0.9","nok","207387","133.08"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{2_1-1_23}.jpg","nok","0.89","nok","181410","138.31"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{2_1-1_24}.jpg","nok","0.75","nok","529050","134.14"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{2_1-1_25}.jpg","ok","0.33","ok","0","136.5"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{2_1-1_26}.jpg","nok","4.26","nok","427176","136.26"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{2_1-1_27}.jpg","nok","0.61","nok","467133","133.89"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{2_1-1_28}.jpg","nok","2.97","nok","474159","133.1"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241128\111111111\111111111-1-{2_1-1_29}.jpg","nok","3.67","nok","170643","137.68"
