"No.","File Name","Predicted","Confinence(%)","Predicted With Condition","Min Area","Inspection Time(ms)"
"1","D:\DATA\AC1200 Heatsink\20241204\000000001\000000001-0-{1_1-1_1}.jpg","nok","1.75","ok","0","6400.13"
"2","D:\DATA\AC1200 Heatsink\20241204\000000001\000000001-0-{1_1-1_2}.jpg","nok","1.69","ok","0","6693.91"
"3","D:\DATA\AC1200 Heatsink\20241204\000000001\000000001-0-{1_1-1_3}.jpg","nok","0.61","ok","0","3835.01"
"4","D:\DATA\AC1200 Heatsink\20241204\000000001\000000001-0-{1_1-1_4}.jpg","nok","0.82","ok","0","129.94"
"5","D:\DATA\AC1200 Heatsink\20241204\000000001\000000001-0-{1_1-1_5}.jpg","nok","0.58","ok","0","113.45"
"6","D:\DATA\AC1200 Heatsink\20241204\000000001\000000001-0-{1_1-1_6}.jpg","nok","0.99","ok","0","104.37"
"7","D:\DATA\AC1200 Heatsink\20241204\000000001\000000001-0-{1_1-1_7}.jpg","nok","0.92","ok","0","105.3"
"8","D:\DATA\AC1200 Heatsink\20241204\000000001\000000001-0-{1_1-1_8}.jpg","nok","1.24","ok","0","136.11"
"9","D:\DATA\AC1200 Heatsink\20241204\000000001\000000001-0-{1_1-1_9}.jpg","nok","1.52","ok","0","112.39"
"10","D:\DATA\AC1200 Heatsink\20241204\000000001\000000001-0-{1_1-1_10}.jpg","nok","0.88","ok","0","131.21"
"11","D:\DATA\AC1200 Heatsink\20241204\000000001\000000001-0-{1_1-1_11}.jpg","nok","0.84","ok","0","112.95"
